Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-HSA-71291,Metabolism of amino acids and derivatives,,-15,2.4,9.2,28162,374,2791,90,3.2,0.33,443|445|586|635|875|1036|1158|1160|1428|1468|1644|1735|1743|2593|2628|2653|2875|3176|3921|4357|4507|4736|4942|4953|5092|5625|5723|5831|6124|6130|6132|6133|6135|6136|6139|6141|6143|6146|6152|6154|6156|6158|6159|6161|6165|6167|6168|6169|6170|6173|6181|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|6539|7263|7296|9045|9060|23464|23498|23521|26227|27165|27232|29958|50506|54498|58478|84706|116832|200916|219595|374569,ASPA|ASS1|BCAT1|BHMT|CBS|CDO1|CKM|CKMT2|CRYM|SLC25A10|DDC|DIO3|DLST|GAMT|GATM|GCSH|GPT|HNMT|RPSA|MPST|MTAP|RPL10A|OAT|ODC1|PCBD1|PRODH|PSPH|PYCR1|RPL4|RPL7A|RPL8|RPL9|RPL11|RPL12|RPL17|RPL18|RPL19|RPL22|RPL24|RPL26|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL36A|RPLP2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|SLC6A12|TST|TXNRD1|RPL14|PAPSS2|GCAT|HAAO|RPL13A|PHGDH|GLS2|GNMT|DMGDH|DUOX2|SMOX|ENOPH1|GPT2|RPL39L|RPL22L1|FOLH1B|ASPG,-13,LN_meta
Reactome Gene Sets,6,R-HSA-211859,Biological oxidations,,-15,2.9,9.5,28162,222,2791,64,2.3,0.28,124|125|126|131|216|217|218|874|1066|1545|1559|1562|1565|1580|1592|1593|1594|1727|2052|2326|2687|2938|2939|2941|2944|2946|2947|2948|2949|2950|2952|2953|4051|4144|4257|4835|5443|5740|6799|6817|6820|7358|7364|8460|8639|9060|9915|10861|26873|50512|54498|54575|54578|54657|54988|55902|57834|79017|84836|119391|133688|219970|347734|494143,ADH1A|ADH1B|ADH1C|ADH7|ALDH1A1|ALDH2|ALDH3A1|CBR3|CES1|CYP1B1|CYP2C9|CYP2C18|CYP2D6|CYP4B1|CYP26A1|CYP27A1|CYP27B1|CYB5R3|EPHX1|FMO1|GGT5|GSTA1|GSTA2|GSTA4|GSTM1|GSTM2|GSTM3|GSTM4|GSTM5|GSTP1|GSTT1|GSTT2|CYP4F3|MAT2A|MGST1|NQO2|POMC|PTGIS|SULT1A2|SULT1A1|SULT2B1|UGDH|UGT2B7|TPST1|AOC3|PAPSS2|ARNT2|SLC26A1|OPLAH|PODXL2|SMOX|UGT1A10|UGT1A6|UGT1A4|ACSM5|ACSS2|CYP4F11|GGCT|ABHD14B|GSTO2|UGT3A1|GLYATL2|SLC35B2|CHAC2,-13,LN_meta
Reactome Gene Sets,6,R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,,-15,3.1,9.6,28162,184,2791,57,2,0.27,3921|4736|6124|6130|6132|6133|6135|6136|6139|6141|6143|6146|6152|6154|6156|6158|6159|6161|6165|6167|6168|6169|6170|6173|6181|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|9045|10171|10438|10813|23246|23521|27043|54913|65083|79050|84135|116832|200916,RPSA|RPL10A|RPL4|RPL7A|RPL8|RPL9|RPL11|RPL12|RPL17|RPL18|RPL19|RPL22|RPL24|RPL26|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL36A|RPLP2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|RPL14|RCL1|C1D|UTP14A|BOP1|RPL13A|PELP1|RPP25|NOL6|NOC4L|UTP15|RPL39L|RPL22L1,-13,LN_meta
Reactome Gene Sets,6,R-HSA-397014,Muscle contraction,,-14,3,9.2,28162,197,2791,58,2.1,0.27,58|70|88|444|477|775|845|859|1674|2256|2258|2259|2983|3753|3776|3777|4604|4606|4629|4632|4633|4635|4703|4880|4881|4882|5348|5349|5350|6263|6324|6329|6330|6332|6335|6546|6588|7111|7125|7135|7137|7138|7140|7168|7169|7220|7414|7431|8557|10174|10345|25802|25937|29767|29895|53826|60598|140465,ACTA1|ACTC1|ACTN2|ASPH|ATP1A2|CACNA1C|CASQ2|CAV3|DES|FGF11|FGF13|FGF14|GUCY1B1|KCNE1|KCNK2|KCNK3|MYBPC1|MYBPC2|MYH11|MYL1|MYL2|MYL4|NEB|NPPC|NPR1|NPR2|FXYD1|FXYD3|PLN|RYR3|SCN1B|SCN4A|SCN4B|SCN7A|SCN9A|SLC8A1|SLN|TMOD1|TNNC2|TNNI1|TNNI3|TNNT1|TNNT3|TPM1|TPM2|TRPC1|VCL|VIM|TCAP|SORBS3|TRDN|LMOD1|WWTR1|TMOD2|MYLPF|FXYD6|KCNK15|MYL6B,-12,LN_meta
Reactome Gene Sets,6,R-HSA-9010553,Regulation of expression of SLITs and ROBOs,,-14,3.1,9.3,28162,171,2791,53,1.9,0.26,1605|1981|3921|4440|4736|6124|6130|6132|6133|6135|6136|6139|6141|6143|6146|6152|6154|6156|6158|6159|6161|6165|6167|6168|6169|6170|6173|6181|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|9045|9353|23521|64221|116832|200916,DAG1|EIF4G1|RPSA|MSI1|RPL10A|RPL4|RPL7A|RPL8|RPL9|RPL11|RPL12|RPL17|RPL18|RPL19|RPL22|RPL24|RPL26|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL36A|RPLP2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|RPL14|SLIT2|RPL13A|ROBO3|RPL39L|RPL22L1,-12,LN_meta
Reactome Gene Sets,6,R-HSA-8868773,rRNA processing in the nucleus and cytosol,,-14,3,9.1,28162,194,2791,57,2,0.27,3921|4736|6124|6130|6132|6133|6135|6136|6139|6141|6143|6146|6152|6154|6156|6158|6159|6161|6165|6167|6168|6169|6170|6173|6181|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|9045|10171|10438|10813|23246|23521|27043|54913|65083|79050|84135|116832|200916,RPSA|RPL10A|RPL4|RPL7A|RPL8|RPL9|RPL11|RPL12|RPL17|RPL18|RPL19|RPL22|RPL24|RPL26|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL36A|RPLP2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|RPL14|RCL1|C1D|UTP14A|BOP1|RPL13A|PELP1|RPP25|NOL6|NOC4L|UTP15|RPL39L|RPL22L1,-12,LN_meta
Reactome Gene Sets,6,R-HSA-72312,rRNA processing,,-13,2.9,8.9,28162,204,2791,58,2.1,0.27,3921|4736|6124|6130|6132|6133|6135|6136|6139|6141|6143|6146|6152|6154|6156|6158|6159|6161|6165|6167|6168|6169|6170|6173|6181|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|9045|10171|10438|10813|23246|23521|27043|54913|65083|79050|79922|84135|116832|200916,RPSA|RPL10A|RPL4|RPL7A|RPL8|RPL9|RPL11|RPL12|RPL17|RPL18|RPL19|RPL22|RPL24|RPL26|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL36A|RPLP2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|RPL14|RCL1|C1D|UTP14A|BOP1|RPL13A|PELP1|RPP25|NOL6|NOC4L|MRM1|UTP15|RPL39L|RPL22L1,-11,LN_meta
Reactome Gene Sets,6,R-HSA-72695,"Formation of the ternary complex, and subsequently, the 43S complex",,-13,5.1,9.8,28162,51,2791,26,0.93,0.18,3646|3921|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|8663|8665|8667|27335|51386,EIF3E|RPSA|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|EIF3C|EIF3F|EIF3H|EIF3K|EIF3L,-11,LN_meta
KEGG Pathway,24,hsa03010,Ribosome ,,-13,3.2,8.9,28162,153,2791,48,1.7,0.25,3921|4736|6124|6130|6132|6133|6135|6136|6139|6141|6143|6146|6152|6154|6156|6158|6159|6161|6165|6167|6168|6169|6170|6173|6181|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|9045|23521|51116|200916,RPSA|RPL10A|RPL4|RPL7A|RPL8|RPL9|RPL11|RPL12|RPL17|RPL18|RPL19|RPL22|RPL24|RPL26|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL36A|RPLP2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|RPL14|RPL13A|MRPS2|RPL22L1,-11,LN_meta
KEGG Pathway,24,ko03010,Ribosome,,-13,3.2,8.9,28162,153,2791,48,1.7,0.25,3921|4736|6124|6130|6132|6133|6135|6136|6139|6141|6143|6146|6152|6154|6156|6158|6159|6161|6165|6167|6168|6169|6170|6173|6181|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|9045|23521|51116|200916,RPSA|RPL10A|RPL4|RPL7A|RPL8|RPL9|RPL11|RPL12|RPL17|RPL18|RPL19|RPL22|RPL24|RPL26|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL36A|RPLP2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|RPL14|RPL13A|MRPS2|RPL22L1,-11,LN_meta
KEGG Pathway,24,hsa00980,Metabolism of xenobiotics by cytochrome P450 ,,-12,4.2,9.2,28162,74,2791,31,1.1,0.2,124|125|126|131|218|220|222|874|1545|1559|1565|1645|2052|2938|2939|2941|2944|2946|2947|2948|2949|2950|2952|2953|3290|4257|7364|54575|54578|54657|119391,ADH1A|ADH1B|ADH1C|ADH7|ALDH3A1|ALDH1A3|ALDH3B2|CBR3|CYP1B1|CYP2C9|CYP2D6|AKR1C1|EPHX1|GSTA1|GSTA2|GSTA4|GSTM1|GSTM2|GSTM3|GSTM4|GSTM5|GSTP1|GSTT1|GSTT2|HSD11B1|MGST1|UGT2B7|UGT1A10|UGT1A6|UGT1A4|GSTO2,-10,LN_meta
KEGG Pathway,24,ko00980,Metabolism of xenobiotics by cytochrome P450,,-12,4.2,9.2,28162,74,2791,31,1.1,0.2,124|125|126|131|218|220|222|874|1545|1559|1565|1645|2052|2938|2939|2941|2944|2946|2947|2948|2949|2950|2952|2953|3290|4257|7364|54575|54578|54657|119391,ADH1A|ADH1B|ADH1C|ADH7|ALDH3A1|ALDH1A3|ALDH3B2|CBR3|CYP1B1|CYP2C9|CYP2D6|AKR1C1|EPHX1|GSTA1|GSTA2|GSTA4|GSTM1|GSTM2|GSTM3|GSTM4|GSTM5|GSTP1|GSTT1|GSTT2|HSD11B1|MGST1|UGT2B7|UGT1A10|UGT1A6|UGT1A4|GSTO2,-10,LN_meta
Reactome Gene Sets,6,R-HSA-72649,Translation initiation complex formation,,-12,4.7,9.3,28162,58,2791,27,0.97,0.19,1981|3646|3921|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|8663|8665|8667|27335|51386,EIF4G1|EIF3E|RPSA|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|EIF3C|EIF3F|EIF3H|EIF3K|EIF3L,-10,LN_meta
Reactome Gene Sets,6,R-HSA-72702,Ribosomal scanning and start codon recognition,,-12,4.7,9.3,28162,58,2791,27,0.97,0.19,1981|3646|3921|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|8663|8665|8667|27335|51386,EIF4G1|EIF3E|RPSA|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|EIF3C|EIF3F|EIF3H|EIF3K|EIF3L,-10,LN_meta
Reactome Gene Sets,6,R-HSA-390522,Striated Muscle Contraction,,-12,5.9,9.7,28162,36,2791,21,0.75,0.16,58|70|88|1674|4604|4606|4632|4633|4635|4703|7111|7125|7135|7137|7138|7140|7168|7169|7431|8557|29767,ACTA1|ACTC1|ACTN2|DES|MYBPC1|MYBPC2|MYL1|MYL2|MYL4|NEB|TMOD1|TNNC2|TNNI1|TNNI3|TNNT1|TNNT3|TPM1|TPM2|VIM|TCAP|TMOD2,-10,LN_meta
Reactome Gene Sets,6,R-HSA-72662,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",,-12,4.6,9.2,28162,59,2791,27,0.97,0.19,1981|3646|3921|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|8663|8665|8667|27335|51386,EIF4G1|EIF3E|RPSA|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|EIF3C|EIF3F|EIF3H|EIF3K|EIF3L,-10,LN_meta
KEGG Pathway,24,ko05204,Chemical carcinogenesis,,-12,3.9,8.8,28162,82,2791,32,1.1,0.2,124|125|126|131|218|220|222|1545|1559|1562|1646|2052|2938|2939|2941|2944|2946|2947|2948|2949|2950|2952|2953|3290|4257|6799|6817|7364|54575|54578|54657|119391,ADH1A|ADH1B|ADH1C|ADH7|ALDH3A1|ALDH1A3|ALDH3B2|CYP1B1|CYP2C9|CYP2C18|AKR1C2|EPHX1|GSTA1|GSTA2|GSTA4|GSTM1|GSTM2|GSTM3|GSTM4|GSTM5|GSTP1|GSTT1|GSTT2|HSD11B1|MGST1|SULT1A2|SULT1A1|UGT2B7|UGT1A10|UGT1A6|UGT1A4|GSTO2,-9.9,LN_meta
KEGG Pathway,24,ko00982,Drug metabolism - cytochrome P450,,-11,4.2,8.8,28162,70,2791,29,1,0.19,124|125|126|131|218|220|222|316|1559|1565|2326|2330|2938|2939|2941|2944|2946|2947|2948|2949|2950|2952|2953|4257|7364|54575|54578|54657|119391,ADH1A|ADH1B|ADH1C|ADH7|ALDH3A1|ALDH1A3|ALDH3B2|AOX1|CYP2C9|CYP2D6|FMO1|FMO5|GSTA1|GSTA2|GSTA4|GSTM1|GSTM2|GSTM3|GSTM4|GSTM5|GSTP1|GSTT1|GSTT2|MGST1|UGT2B7|UGT1A10|UGT1A6|UGT1A4|GSTO2,-9.7,LN_meta
KEGG Pathway,24,hsa00982,Drug metabolism - cytochrome P450 ,,-11,4.2,8.8,28162,70,2791,29,1,0.19,124|125|126|131|218|220|222|316|1559|1565|2326|2330|2938|2939|2941|2944|2946|2947|2948|2949|2950|2952|2953|4257|7364|54575|54578|54657|119391,ADH1A|ADH1B|ADH1C|ADH7|ALDH3A1|ALDH1A3|ALDH3B2|AOX1|CYP2C9|CYP2D6|FMO1|FMO5|GSTA1|GSTA2|GSTA4|GSTM1|GSTM2|GSTM3|GSTM4|GSTM5|GSTP1|GSTT1|GSTT2|MGST1|UGT2B7|UGT1A10|UGT1A6|UGT1A4|GSTO2,-9.7,LN_meta
Reactome Gene Sets,6,R-HSA-3000178,ECM proteoglycans,,-11,4,8.6,28162,76,2791,30,1.1,0.2,351|633|1278|1281|1282|1284|1285|1291|1292|1293|1311|1462|1605|1758|1834|2335|3339|3381|3679|3908|3911|3913|4038|4593|4684|5802|6678|7043|7148|8516,APP|BGN|COL1A2|COL3A1|COL4A1|COL4A2|COL4A3|COL6A1|COL6A2|COL6A3|COMP|VCAN|DAG1|DMP1|DSPP|FN1|HSPG2|IBSP|ITGA7|LAMA2|LAMA5|LAMB2|LRP4|MUSK|NCAM1|PTPRS|SPARC|TGFB3|TNXB|ITGA8,-9.4,LN_meta
Reactome Gene Sets,6,R-HSA-382551,Transport of small molecules,,-11,1.8,7.4,28162,729,2791,131,4.7,0.4,24|111|119|160|215|291|341|347|348|360|362|444|477|525|535|563|845|861|949|1080|1181|1183|1184|1211|1244|1356|1448|1468|2030|2788|3069|3162|3177|3934|4023|4151|5046|5125|5205|5304|5348|5349|5350|5360|6233|6248|6263|6337|6338|6339|6512|6523|6529|6536|6539|6542|6546|6556|6579|6588|7018|7220|7223|7436|7439|7781|7922|8501|8714|8989|9056|9058|9123|10057|10058|10062|10345|10349|10350|10351|10577|10723|10861|11254|11309|11331|23327|23460|23657|28965|29986|50617|51129|51310|51458|51700|53373|53826|54795|55107|55129|55240|55244|55630|57835|59341|64078|65268|80131|80727|80736|81031|91289|91319|93380|94015|113235|115111|123096|124935|144195|144453|162514|206358|222962|284111|284129|285195|347734|353189|376497,ABCA4|ADCY5|ADD2|AP2A1|ABCD1|SLC25A4|APOC1|APOD|APOE|AQP3|AQP5|ASPH|ATP1A2|ATP6V1B1|ATP6V0A1|AZGP1|CASQ2|RUNX1|SCARB1|CFTR|CLCN2|CLCN4|CLCN5|CLTA|ABCC2|CP|CSN3|SLC25A10|SLC29A1|GNG7|HDLBP|HMOX1|SLC29A2|LCN2|LPL|MB|PCSK6|PCSK5|ATP8B1|PIP|FXYD1|FXYD3|PLN|PLTP|RPS27A|RSC1A1|RYR3|SCNN1A|SCNN1B|SCNN1D|SLC1A7|SLC5A1|SLC6A1|SLC6A9|SLC6A12|SLC7A2|SLC8A1|SLC11A1|SLCO1A2|SLN|TF|TRPC1|TRPC4|VLDLR|BEST1|SLC30A3|SLC39A7|SLC43A1|ABCC3|TRPA1|SLC7A7|SLC13A2|SLC16A3|ABCC5|ABCB6|NR1H3|TRDN|ABCA10|ABCA9|ABCA8|NPC2|SLC12A7|SLC26A1|SLC6A14|SLCO2B1|PHB2|NEDD4L|ABCA6|SLC7A11|SLC27A6|SLC39A2|ATP6V0A4|ANGPTL4|SLC22A17|RHCG|CYB5R2|TPCN1|FXYD6|TRPM4|ANO1|ANO10|STEAP3|SLC47A1|SLC39A4|SLC4A5|TRPV4|SLC28A3|WNK2|LRRC8E|TTYH3|SLC44A4|SLC2A10|LMF2|DERL3|MMGT1|TTYH2|SLC46A1|SLC26A7|SLC25A29|SLC43A2|SLC2A14|BEST3|TRPV3|SLC36A1|SLC29A4|SLC13A5|SLC26A11|SLC9A9|SLC35B2|SLCO4C1|SLC27A1,-9.3,LN_meta
KEGG Pathway,24,hsa05204,Chemical carcinogenesis,,-10,3.6,8.2,28162,89,2791,32,1.1,0.2,124|125|126|131|218|220|222|1545|1559|1562|1646|2052|2938|2939|2941|2944|2946|2947|2948|2949|2950|2952|2953|3290|4257|6799|6817|7364|54575|54578|54657|119391,ADH1A|ADH1B|ADH1C|ADH7|ALDH3A1|ALDH1A3|ALDH3B2|CYP1B1|CYP2C9|CYP2C18|AKR1C2|EPHX1|GSTA1|GSTA2|GSTA4|GSTM1|GSTM2|GSTM3|GSTM4|GSTM5|GSTP1|GSTT1|GSTT2|HSD11B1|MGST1|SULT1A2|SULT1A1|UGT2B7|UGT1A10|UGT1A6|UGT1A4|GSTO2,-8.8,LN_meta
KEGG Pathway,24,ko05418,Fluid shear stress and atherosclerosis,,-10,3,7.9,28162,142,2791,42,1.5,0.23,90|92|208|445|652|657|859|1514|2817|2938|2939|2941|2944|2946|2947|2948|2949|2950|2952|2953|3162|3383|3725|4257|4688|4880|5327|5563|5599|5602|5881|6300|6383|6714|7056|7132|7422|8878|9181|51806|59341|119391,ACVR1|ACVR2A|AKT2|ASS1|BMP4|BMPR1A|CAV3|CTSL|GPC1|GSTA1|GSTA2|GSTA4|GSTM1|GSTM2|GSTM3|GSTM4|GSTM5|GSTP1|GSTT1|GSTT2|HMOX1|ICAM1|JUN|MGST1|NCF2|NPPC|PLAT|PRKAA2|MAPK8|MAPK10|RAC3|MAPK12|SDC2|SRC|THBD|TNFRSF1A|VEGFA|SQSTM1|ARHGEF2|CALML5|TRPV4|GSTO2,-8.7,LN_meta
KEGG Pathway,24,hsa05418,Fluid shear stress and atherosclerosis,,-10,2.9,7.8,28162,148,2791,43,1.5,0.23,90|92|208|445|652|657|859|1514|2817|2938|2939|2941|2944|2946|2947|2948|2949|2950|2952|2953|3162|3383|3725|4257|4688|4880|5327|5563|5599|5602|5881|6300|6383|6714|7056|7132|7422|8878|9181|51806|59341|119391|728378,ACVR1|ACVR2A|AKT2|ASS1|BMP4|BMPR1A|CAV3|CTSL|GPC1|GSTA1|GSTA2|GSTA4|GSTM1|GSTM2|GSTM3|GSTM4|GSTM5|GSTP1|GSTT1|GSTT2|HMOX1|ICAM1|JUN|MGST1|NCF2|NPPC|PLAT|PRKAA2|MAPK8|MAPK10|RAC3|MAPK12|SDC2|SRC|THBD|TNFRSF1A|VEGFA|SQSTM1|ARHGEF2|CALML5|TRPV4|GSTO2|POTEF,-8.6,LN_meta
KEGG Pathway,24,hsa05200,Pathways in cancer ,,-10,2.1,7.3,28162,395,2791,82,2.9,0.32,25|111|185|208|595|598|652|861|862|898|1019|1030|1282|1284|1285|1436|1441|1630|1856|1857|1902|1910|1950|1956|2064|2255|2256|2258|2259|2260|2277|2335|2736|2788|2950|2956|3066|3479|3569|3725|3728|3908|3911|3913|4088|4254|4436|4609|4843|5156|5159|5228|5332|5335|5468|5599|5602|5727|5733|5881|6387|6688|7039|7043|7422|7474|7481|7483|7704|7849|8324|8900|9826|9915|9965|11211|23236|23624|26060|29119|64399|81029,ABL1|ADCY5|AGTR1|AKT2|CCND1|BCL2L1|BMP4|RUNX1|RUNX1T1|CCNE1|CDK4|CDKN2B|COL4A1|COL4A2|COL4A3|CSF1R|CSF3R|DCC|DVL2|DVL3|LPAR1|EDNRB|EGF|EGFR|ERBB2|FGF10|FGF11|FGF13|FGF14|FGFR1|VEGFD|FN1|GLI2|GNG7|GSTP1|MSH6|HDAC2|IGF1|IL6|JUN|JUP|LAMA2|LAMA5|LAMB2|SMAD3|KITLG|MSH2|MYC|NOS2|PDGFRA|PDGFRB|PGF|PLCB4|PLCG1|PPARG|MAPK8|MAPK10|PTCH1|PTGER3|RAC3|CXCL12|SPI1|TGFA|TGFB3|VEGFA|WNT5A|WNT11|WNT9A|ZBTB16|PAX8|FZD7|CCNA1|ARHGEF11|ARNT2|FGF19|FZD10|PLCB1|CBLC|APPL1|CTNNA3|HHIP|WNT5B,-8.5,LN_meta
Reactome Gene Sets,6,R-HSA-8953897,Cellular responses to external stimuli,,-10,1.8,7,28162,690,2791,123,4.4,0.39,467|468|525|645|898|1019|1030|1051|1410|1639|1780|2077|2288|2877|2878|2950|3005|3006|3008|3012|3020|3159|3162|3303|3310|3569|3725|3921|4306|4489|4688|4736|5052|5580|5599|5602|6124|6130|6132|6133|6135|6136|6139|6141|6143|6146|6152|6154|6156|6158|6159|6161|6165|6167|6168|6169|6170|6173|6181|6191|6193|6201|6202|6203|6204|6205|6206|6207|6209|6210|6217|6218|6224|6227|6228|6229|6233|6234|6620|6648|6649|6767|7099|7280|7296|7422|7846|8337|8341|8349|8365|8900|8994|9045|9531|9588|9612|9631|10381|10382|10540|10891|22809|23334|23373|23521|26353|51434|53371|55766|57761|64344|64784|79400|84335|84733|85236|113235|116832|116835|200916|347733|723790,ATF3|ATF4|ATP6V1B1|BLVRB|CCNE1|CDK4|CDKN2B|CEBPB|CRYAB|DCTN1|DYNC1I1|ERF|FKBP4|GPX2|GPX3|GSTP1|H1-0|H1-2|H1-4|H2AC8|H3-3A|HMGA1|HMOX1|HSPA1A|HSPA6|IL6|JUN|RPSA|NR3C2|MT1A|NCF2|RPL10A|PRDX1|PRKCD|MAPK8|MAPK10|RPL4|RPL7A|RPL8|RPL9|RPL11|RPL12|RPL17|RPL18|RPL19|RPL22|RPL24|RPL26|RPL30|RPL28|RPL29|RPL32|RPL35A|RPL37|RPL37A|RPL38|RPL39|RPL36A|RPLP2|RPS4X|RPS5|RPS7|RPS8|RPS9|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS20|RPS21|RPS23|RPS24|RPS27A|RPS28|SNCB|SOD2|SOD3|ST13|TLR4|TUBB2A|TXNRD1|VEGFA|TUBA1A|H2AC18|H2BC15|H2BC21|H4C8|CCNA1|LIMD1|RPL14|BAG3|PRDX6|NCOR2|NUP155|TUBB3|TUBB4A|DCTN2|PPARGC1A|ATF5|SZT2|CRTC1|RPL13A|HSPB8|ANAPC7|NUP54|H2AJ|TRIB3|HIF3A|CRTC3|NOX5|AKT1S1|CBX2|H2BC12|SLC46A1|RPL39L|HSPA12B|RPL22L1|TUBB2B|H2AC19,-8.5,LN_meta
